master_product_code,product_title,image_url,brand,vendor_name,vendor_tier,region,category,master_category
MPC-200005,nido fortified milk powder 900g,https://images.deliveryhero.io/image/dh/nido-900g.jpg,Nido,GrocerPro SA,pro,sa,packaged_food_beverages,
MPC-200006,dettol antiseptic liquid 500ml,https://images.deliveryhero.io/image/dh/dettol-500ml.jpg,Dettol,FreshMart Regional,pro,ae,packaged_non_food,
MPC-200007,red bull energy drink 250ml,https://images.deliveryhero.io/image/dh/redbull-250ml.jpg,Red Bull,GrocerPro SA,pro,sa,packaged_food_beverages,
MPC-200008,colgate max fresh 100ml cool mint,https://images.deliveryhero.io/image/dh/colgate-100ml.jpg,Colgate,FreshMart Regional,pro,ae,packaged_non_food,
MPC-200009,nadec long life milk full fat 1L,https://images.deliveryhero.io/image/dh/nadec-milk-1l.jpg,Nadec,GrocerPro SA,pro,sa,packaged_food_beverages,
MPC-200010,sprite lemon lime 330ml can,https://images.deliveryhero.io/image/dh/sprite-330ml.jpg,Sprite,FreshMart Regional,pro,ae,packaged_food_beverages,
MPC-200011,head and shoulders shampoo 400ml antidandruf,https://images.deliveryhero.io/image/dh/headshoulders-400ml.jpg,Head & Shoulders,GrocerPro SA,pro,sa,packaged_non_food,
MPC-200012,maggi chicken noodles 77g 5 pack,https://images.deliveryhero.io/image/dh/maggi-5x77g.jpg,Maggi,FreshMart Regional,pro,ae,packaged_food_beverages,
MPC-200013,al ain water 1.5L,https://images.deliveryhero.io/image/dh/alain-1.5l.jpg,Al Ain,FreshMart Regional,pro,ae,packaged_food_beverages,
MPC-200014,philadelphia cream cheese 200g orignal,https://images.deliveryhero.io/image/dh/philadelphia-200g.jpg,Philadelphia,GrocerPro SA,pro,sa,packaged_food_beverages,
MPC-200015,persil powder detergent 3kg,https://images.deliveryhero.io/image/dh/persil-3kg.jpg,Persil,GrocerPro SA,pro,sa,packaged_non_food,
MPC-200016,kinder bueno milk chocolate bar 43g,https://images.deliveryhero.io/image/dh/kinder-bueno-43g.jpg,Kinder,FreshMart Regional,pro,ae,packaged_food_beverages,
MPC-200017,tang orange powder drink 375g,https://images.deliveryhero.io/image/dh/tang-375g.jpg,Tang,GrocerPro SA,pro,sa,packaged_food_beverages,
MPC-200018,pampers baby dry size 4 44 diapers,https://images.deliveryhero.io/image/dh/pampers-s4-44.jpg,Pampers,FreshMart Regional,pro,ae,packaged_non_food,
MPC-300001,almarai full fat milk 500ml,https://images.deliveryhero.io/image/dh/almarai-milk-500ml.jpg,Almarai,Carrefour Express,plus,ae,packaged_food_beverages,
MPC-300002,coca cola original 330ml 6 pack,https://images.deliveryhero.io/image/dh/coke-6pack.jpg,Coca-Cola,Carrefour Express,plus,ae,packaged_food_beverages,
MPC-300003,ariel automatic wash powder 2.5kg original,https://images.deliveryhero.io/image/dh/ariel-2.5kg.jpg,Ariel,Panda Supermarket,plus,sa,packaged_non_food,
MPC-300004,kitkat chunky milk chocolate 40g,https://images.deliveryhero.io/image/dh/kitkat-40g.jpg,KitKat,Carrefour Express,plus,ae,packaged_food_beverages,
MPC-300005,nadec fresh chicken whole 1kg,https://images.deliveryhero.io/image/dh/nadec-chicken-1kg.jpg,Nadec,Panda Supermarket,plus,sa,ultrafresh_loose_food_beverages,
MPC-300006,apple lightning cable 1m white,https://images.deliveryhero.io/image/dh/apple-cable-1m.jpg,Apple,Carrefour Express,plus,ae,electronics,
MPC-300007,red bull sugar free 250ml,https://images.deliveryhero.io/image/dh/redbull-sf-250ml.jpg,Red Bull,Panda Supermarket,plus,sa,packaged_food_beverages,
MPC-300008,nivea body lotion cocoa butter 400ml,https://images.deliveryhero.io/image/dh/nivea-400ml.jpg,Nivea,Carrefour Express,plus,ae,packaged_non_food,
MPC-300009,lurpak butter unsalted 200g,https://images.deliveryhero.io/image/dh/lurpak-200g.jpg,Lurpak,Panda Supermarket,plus,sa,packaged_food_beverages,
MPC-300010,fanta orange 330ml can,https://images.deliveryhero.io/image/dh/fanta-330ml.jpg,Fanta,Carrefour Express,plus,ae,packaged_food_beverages,
MPC-300011,dove beauty cream bar soap 135g,https://images.deliveryhero.io/image/dh/dove-135g.jpg,Dove,Panda Supermarket,plus,sa,packaged_non_food,
MPC-300012,philadelphia cream cheese light 200g,https://images.deliveryhero.io/image/dh/philly-light-200g.jpg,Philadelphia,Carrefour Express,plus,ae,packaged_food_beverages,
MPC-300013,samsung galaxy a15 phone case black,https://images.deliveryhero.io/image/dh/samsung-a15-case.jpg,Samsung,Panda Supermarket,plus,sa,electronics,
MPC-300014,nescafe gold blend instant cofee 100g,https://images.deliveryhero.io/image/dh/nescafe-gold-100g.jpg,Nescafe,Carrefour Express,plus,ae,packaged_food_beverages,
MPC-300015,pampers premium care size 3 80 diapers,https://images.deliveryhero.io/image/dh/pampers-pc-s3-80.jpg,Pampers,Panda Supermarket,plus,sa,packaged_non_food,
MPC-300016,almarai juice mixed fruit 1L,https://images.deliveryhero.io/image/dh/almarai-juice-1l.jpg,Almarai,Carrefour Express,plus,ae,packaged_food_beverages,
MPC-300017,danone activia yogurt strawberry 120g 4 pack,https://images.deliveryhero.io/image/dh/activia-4x120g.jpg,Danone,Panda Supermarket,plus,sa,packaged_food_beverages,
MPC-300018,cadbury dairy milk chocolate 200g,https://images.deliveryhero.io/image/dh/cadbury-200g.jpg,Cadbury,Carrefour Express,plus,ae,packaged_food_beverages,
MPC-300019,pringles original chips 165g,https://images.deliveryhero.io/image/dh/pringles-165g.jpg,Pringles,Carrefour Express,plus,ae,packaged_food_beverages,
MPC-300020,comfort fabric conditioner blue 2L,https://images.deliveryhero.io/image/dh/comfort-2l.jpg,Comfort,Panda Supermarket,plus,sa,packaged_non_food,
MPC-400001,almarai low fat milk 1L,https://images.deliveryhero.io/image/dh/almarai-lowfat-1l.jpg,Almarai,Carrefour Hypermarket,enterprise,ae,packaged_food_beverages,
MPC-400002,coca cola original taste 330ml can,https://images.deliveryhero.io/image/dh/coke-original-330ml.jpg,Coca-Cola,Carrefour Hypermarket,enterprise,ae,packaged_food_beverages,
MPC-400003,persil power gel 3l lavender,https://images.deliveryhero.io/image/dh/persil-gel-3l.jpg,Persil,Carrefour Hypermarket,enterprise,ae,packaged_non_food,
MPC-400004,galaxy smooth milk choclate bar 90g,https://images.deliveryhero.io/image/dh/galaxy-90g.jpg,Galaxy,Carrefour Hypermarket,enterprise,ae,packaged_food_beverages,
MPC-400005,fresh local tomatoes per kg,https://images.deliveryhero.io/image/dh/tomatoes-1kg.jpg,Local Farm,Carrefour Hypermarket,enterprise,ae,ultrafresh_loose_food_beverages,
MPC-400006,samsung galaxy buds3 pro wireless earbuds,https://images.deliveryhero.io/image/dh/galaxy-buds3.jpg,Samsung,Carrefour Hypermarket,enterprise,ae,electronics,
MPC-400007,almarai full fat milk 3L,https://images.deliveryhero.io/image/dh/almarai-milk-3l.jpg,Almarai,Carrefour Hypermarket,enterprise,ae,packaged_food_beverages,
MPC-400008,coca cola zero sugar 330ml 6 pack,https://images.deliveryhero.io/image/dh/coke-zero-6pack.jpg,Coca-Cola,Carrefour Hypermarket,enterprise,ae,packaged_food_beverages,
MPC-400009,fairy platinum dishwasher tabs 30 pack,https://images.deliveryhero.io/image/dh/fairy-plat-30.jpg,Fairy,Carrefour Hypermarket,enterprise,ae,packaged_non_food,
MPC-400010,lindt excellence dark chocolate 85% 100g,https://images.deliveryhero.io/image/dh/lindt-85-100g.jpg,Lindt,Carrefour Hypermarket,enterprise,ae,packaged_food_beverages,
MPC-400011,fresh bananas per kg,https://images.deliveryhero.io/image/dh/bananas-1kg.jpg,Imported,Carrefour Hypermarket,enterprise,ae,ultrafresh_loose_food_beverages,
MPC-400012,apple usb-c charger 20w,https://images.deliveryhero.io/image/dh/apple-charger-20w.jpg,Apple,Carrefour Hypermarket,enterprise,ae,electronics,
MPC-400013,almarai fresh juice orange 1.5L,https://images.deliveryhero.io/image/dh/almarai-oj-1.5l.jpg,Almarai,Carrefour Hypermarket,enterprise,ae,packaged_food_beverages,
MPC-400014,evian natural mineral water 1.5L,https://images.deliveryhero.io/image/dh/evian-1.5l.jpg,Evian,Carrefour Hypermarket,enterprise,ae,packaged_food_beverages,
MPC-400015,loreal paris elvive shampoo 400ml color protect,https://images.deliveryhero.io/image/dh/loreal-elvive-400ml.jpg,L'Oreal,Carrefour Hypermarket,enterprise,ae,packaged_non_food,
MPC-400016,red bull energy drink 250ml 4 pack,https://images.deliveryhero.io/image/dh/redbull-4pack.jpg,Red Bull,Carrefour Hypermarket,enterprise,ae,packaged_food_beverages,
MPC-400017,lurpak butter salted 200g block,https://images.deliveryhero.io/image/dh/lurpak-salted-200g.jpg,Lurpak,Carrefour Hypermarket,enterprise,ae,packaged_food_beverages,
MPC-400018,pringles sour cream onion 165g,https://images.deliveryhero.io/image/dh/pringles-sc-165g.jpg,Pringles,Carrefour Hypermarket,enterprise,ae,packaged_food_beverages,
MPC-400019,voltaren emulgel 100g anti inflammatory,https://images.deliveryhero.io/image/dh/voltaren-100g.jpg,Voltaren,Carrefour Hypermarket,enterprise,ae,pharmaceuticals,
MPC-400020,nescafe dolce gusto cappuccino 16 caps,https://images.deliveryhero.io/image/dh/dolce-gusto-16.jpg,Nescafe,Carrefour Hypermarket,enterprise,ae,packaged_food_beverages,
MPC-400021,samsung 25w travel adapter usb-c white,https://images.deliveryhero.io/image/dh/samsung-25w-adapter.jpg,Samsung,Carrefour Hypermarket,enterprise,ae,electronics,
MPC-400022,cadbury dairy milk fruit and nut 230g,https://images.deliveryhero.io/image/dh/cadbury-fn-230g.jpg,Cadbury,Carrefour Hypermarket,enterprise,ae,packaged_food_beverages,
MPC-400023,dove body wash deeply nourishing 500ml,https://images.deliveryhero.io/image/dh/dove-bodywash-500ml.jpg,Dove,Carrefour Hypermarket,enterprise,ae,packaged_non_food,
MPC-400024,doritos cool ranch 180g,https://images.deliveryhero.io/image/dh/doritos-ranch-180g.jpg,Doritos,Carrefour Hypermarket,enterprise,ae,packaged_food_beverages,
MPC-400025,fresh cucumber per kg,https://images.deliveryhero.io/image/dh/cucumber-1kg.jpg,Local Farm,Carrefour Hypermarket,enterprise,ae,ultrafresh_loose_food_beverages,
MPC-500001,susu ultra mimi coklat 125ml,https://images.deliveryhero.io/image/dh/ultramimi-125ml.jpg,Ultra Mimi,Warung Pak Adi,lite,id,packaged_food_beverages,
MPC-500002,indomie goreng original 85g,https://images.deliveryhero.io/image/dh/indomie-goreng-85g.jpg,Indomie,Warung Pak Adi,lite,id,packaged_food_beverages,
MPC-500003,ABC kecap manis 600ml,https://images.deliveryhero.io/image/dh/abc-kecap-600ml.jpg,ABC,Warung Pak Adi,lite,id,packaged_food_beverages,
MPC-500004,so klin lantai cherry blossom 800ml,https://images.deliveryhero.io/image/dh/soklin-800ml.jpg,So Klin,Warung Pak Adi,lite,id,packaged_non_food,
MPC-500005,le minerale 600ml,https://images.deliveryhero.io/image/dh/leminerale-600ml.jpg,Le Minerale,Warung Pak Adi,lite,id,packaged_food_beverages,
MPC-500006,marlboro red 20s,https://images.deliveryhero.io/image/dh/marlboro-red-20.jpg,Marlboro,Warung Pak Adi,lite,id,smoking_tobacco,
MPC-600001,juhayna full cream milk 1L,https://images.deliveryhero.io/image/dh/juhayna-1l.jpg,Juhayna,Metro Market Cairo,pro,eg,packaged_food_beverages,
MPC-600002,coca cola 330ml can,https://images.deliveryhero.io/image/dh/coke-330ml-eg.jpg,Coca-Cola,Metro Market Cairo,pro,eg,packaged_food_beverages,
MPC-600003,persil gel power 1L,https://images.deliveryhero.io/image/dh/persil-1l-eg.jpg,Persil,Metro Market Cairo,pro,eg,packaged_non_food,
MPC-600004,chipsy cheese 70g,https://images.deliveryhero.io/image/dh/chipsy-70g.jpg,Chipsy,Metro Market Cairo,pro,eg,packaged_food_beverages,
MPC-600005,domty white cheese 500g,https://images.deliveryhero.io/image/dh/domty-500g.jpg,Domty,Metro Market Cairo,pro,eg,packaged_food_beverages,
MPC-700001,almarai skimmed milk 1L,https://images.deliveryhero.io/image/dh/almarai-skim-1l.jpg,Almarai,Lulu Hypermarket,plus,ae,packaged_food_beverages,
MPC-700002,pepsi max zero sugar 330ml 6 pack,https://images.deliveryhero.io/image/dh/pepsi-max-6pack.jpg,Pepsi,Lulu Hypermarket,plus,ae,packaged_food_beverages,
MPC-700003,omo auto liquid detergent 2L,https://images.deliveryhero.io/image/dh/omo-2l.jpg,Omo,Lulu Hypermarket,plus,ae,packaged_non_food,
MPC-700004,toblerone milk chocolate 100g,https://images.deliveryhero.io/image/dh/toblerone-100g.jpg,Toblerone,Lulu Hypermarket,plus,ae,packaged_food_beverages,
MPC-700005,fresh strawberries 250g pack,https://images.deliveryhero.io/image/dh/strawberries-250g.jpg,Local Farm,Lulu Hypermarket,plus,ae,ultrafresh_loose_food_beverages,
MPC-700006,braun series 5 shaver,https://images.deliveryhero.io/image/dh/braun-s5.jpg,Braun,Lulu Hypermarket,plus,ae,electronics,
